loan_id,region,loan_type,credit_score,loan_balance,debt_ratio,num_delinquencies,years_since_orig,default_prob,default_flag
L000001,大阪,マイカーローン,800,11892042,0.737,4,3.0,0.127125,0
L000002,福岡,マイカーローン,586,38008069,0.423,0,1.0,0.412903,0
L000003,東京,マイカーローン,335,34552146,0.294,0,1.5,0.961312,1
L000004,東京,マイカーローン,583,1241238,0.902,2,1.0,0.411292,1
L000005,東京,カードローン,718,43412405,0.093,4,1.0,0.13029,0
L000006,大阪,住宅ローン,607,16382575,0.122,0,5.0,0.883251,0
L000007,大阪,カードローン,655,1571690,0.262,4,7.0,0.810655,0
L000008,東京,住宅ローン,410,38760349,0.61,3,1.5,0.943813,1
L000009,東京,カードローン,375,43022332,0.45,0,5.0,0.990739,0
L000010,東京,マイカーローン,610,29261972,0.212,0,5.0,0.863213,0
L000011,福岡,マイカーローン,718,37498885,0.67,2,2.0,0.206683,0
L000012,札幌,カードローン,757,4025461,0.388,4,1.5,0.098323,1
L000013,東京,カードローン,308,20560161,0.69,0,5.0,0.988243,1
L000014,東京,カードローン,669,45653316,0.89,1,1.5,0.260586,0
L000015,大阪,住宅ローン,770,19555283,0.416,2,3.0,0.203463,0
L000016,札幌,事業資金,311,19606674,0.61,1,3.0,0.987127,1
L000017,大阪,住宅ローン,507,34903147,0.13,0,7.0,0.978751,1
L000018,大阪,カードローン,753,15259587,0.224,0,1.5,0.107359,0
L000019,東京,事業資金,616,44530318,0.661,2,5.0,0.820046,0
L000020,名古屋,マイカーローン,592,7678797,0.882,1,2.0,0.570836,0
L000021,福岡,マイカーローン,781,9205810,0.92,4,1.5,0.070336,0
L000022,名古屋,住宅ローン,564,27569168,0.534,1,1.0,0.442308,1
L000023,名古屋,カードローン,382,36630177,0.724,1,2.0,0.985925,1
L000024,大阪,住宅ローン,592,9597075,0.87,3,3.0,0.748675,0
L000025,大阪,カードローン,742,25128195,0.833,2,1.0,0.092006,0
L000026,名古屋,マイカーローン,302,15193153,0.229,2,0.5,0.770527,1
L000027,大阪,住宅ローン,491,7223236,0.53,3,2.0,0.888989,1
L000028,東京,事業資金,363,45883980,0.798,0,3.0,0.991109,1
L000029,名古屋,カードローン,637,27676631,0.877,1,7.0,0.862082,0
L000030,東京,住宅ローン,394,28886054,0.122,1,3.0,0.9999,1
L000031,東京,カードローン,804,5574003,0.239,4,7.0,0.272122,0
L000032,名古屋,マイカーローン,610,44709460,0.353,1,5.0,0.85682,0
L000033,東京,事業資金,545,2887210,0.405,4,1.5,0.668073,0
L000034,大阪,住宅ローン,823,44195598,0.299,0,5.0,0.158762,0
L000035,福岡,マイカーローン,702,1993198,0.35,4,3.0,0.352507,0
L000036,名古屋,住宅ローン,631,28455182,0.522,0,1.5,0.384218,0
L000037,札幌,住宅ローン,804,1472804,0.708,4,5.0,0.167561,0
L000038,東京,マイカーローン,574,10996241,0.77,1,5.0,0.944961,1
L000039,東京,事業資金,721,43965860,0.596,4,1.5,0.167329,0
L000040,福岡,事業資金,315,37240441,0.266,3,2.0,0.974121,1
L000041,名古屋,住宅ローン,411,5584529,0.267,4,1.0,0.848373,0
L000042,東京,カードローン,707,35279764,0.199,3,3.0,0.297911,0
L000043,大阪,住宅ローン,333,23050806,0.271,2,1.5,0.953522,1
L000044,札幌,住宅ローン,771,38438189,0.12,4,5.0,0.257829,0
L000045,東京,事業資金,570,34928001,0.646,2,1.0,0.450301,0
